,id,name,audience,start,sponsor,end
0,1,Event 1,1178,2022-11-19 10:00:00,Sponsor 2,2022-11-19 10:15:00
1,2,Event 2,1446,2015-09-27 15:00:00,Sponsor 11,2015-09-27 15:11:00
2,3,Event 3,2261,2019-11-12 18:00:00,Sponsor 10,2019-11-12 18:53:00
3,4,Event 4,1471,2019-12-24 22:00:00,Sponsor 6,2019-12-24 22:11:00
4,5,Event 5,2605,2028-06-20 12:00:00,Sponsor 8,2028-06-20 12:31:00
5,6,Event 6,2499,2025-12-21 15:00:00,Sponsor 5,2025-12-21 15:36:00
6,7,Event 7,1464,2009-10-11 13:00:00,Sponsor 3,2009-10-11 13:43:00
7,8,Event 8,3560,2009-09-02 11:00:00,Sponsor 7,2009-09-02 11:09:00
8,9,Event 9,532,2016-11-13 21:00:00,Sponsor 10,2016-11-13 21:28:00
9,10,Event 10,1028,1993-11-27 12:00:00,Sponsor 2,1993-11-27 12:37:00
10,11,Event 11,399,2007-07-02 04:00:00,Sponsor 9,2007-07-02 04:52:00
11,12,Event 12,3472,2003-05-26 14:00:00,Sponsor 5,2003-05-26 14:20:00
12,13,Event 13,1134,2020-10-20 05:00:00,Sponsor 9,2020-10-20 05:46:00
13,14,Event 14,3695,1996-07-29 01:00:00,Sponsor 2,1996-07-29 01:38:00
14,15,Event 15,4419,1993-04-04 16:00:00,Sponsor 2,1993-04-04 18:00:00
15,16,Event 16,4924,2028-05-07 17:00:00,Sponsor 3,2028-05-07 17:50:00
16,17,Event 17,4564,2030-10-25 07:00:00,Sponsor 2,2030-10-25 07:27:00
17,18,Event 18,3028,2011-11-09 10:00:00,Sponsor 6,2011-11-09 10:32:00
18,19,Event 19,4000,2018-03-26 10:00:00,Sponsor 8,2018-03-26 12:00:00
19,20,Event 20,1745,2024-02-13 05:00:00,Sponsor 9,2024-02-13 05:36:00
20,21,Event 21,2113,2007-07-10 04:00:00,Sponsor 2,2007-07-10 04:38:00
21,22,Event 22,1604,2029-02-24 04:00:00,Sponsor 10,2029-02-24 06:00:00
22,23,Event 23,2849,2026-06-09 05:00:00,Sponsor 7,2026-06-09 05:24:00
23,24,Event 24,251,2000-01-01 08:00:00,Sponsor 3,2000-01-01 08:17:00
24,25,Event 25,737,1999-04-18 13:00:00,Sponsor 10,1999-04-18 13:23:00
25,26,Event 26,3244,2005-10-04 17:00:00,Sponsor 10,2005-10-04 17:18:00
26,27,Event 27,109,2023-07-17 00:00:00,Sponsor 11,2023-07-17 00:22:00
27,28,Event 28,3771,1999-07-06 09:00:00,Sponsor 8,1999-07-06 09:15:00
28,29,Event 29,3473,2015-05-04 14:00:00,Sponsor 11,2015-05-04 14:18:00
29,30,Event 30,3447,2021-05-20 18:00:00,Sponsor 5,2021-05-20 18:43:00
30,31,Event 31,1792,2004-11-21 17:00:00,Sponsor 9,2004-11-21 17:22:00
31,32,Event 32,563,1993-12-15 10:00:00,Sponsor 3,1993-12-15 10:29:00
32,33,Event 33,4927,2018-05-14 21:00:00,Sponsor 10,2018-05-14 21:39:00
33,34,Event 34,1542,2020-09-22 16:00:00,Sponsor 11,2020-09-22 16:24:00
34,35,Event 35,2903,2024-05-02 15:00:00,Sponsor 8,2024-05-02 15:35:00
35,36,Event 36,1375,2002-03-12 22:00:00,Sponsor 10,2002-03-12 22:09:00
36,37,Event 37,2321,2015-09-11 02:00:00,Sponsor 1,2015-09-11 02:23:00
37,38,Event 38,2466,2008-06-27 19:00:00,Sponsor 10,2008-06-27 19:44:00
38,39,Event 39,2960,1995-08-15 08:00:00,Sponsor 1,1995-08-15 08:28:00
39,40,Event 40,3772,2016-03-05 00:00:00,Sponsor 2,2016-03-05 00:08:00
40,41,Event 41,1503,2018-12-22 04:00:00,Sponsor 9,2018-12-22 04:22:00
41,42,Event 42,156,2020-10-20 07:00:00,Sponsor 8,2020-10-20 09:00:00
42,43,Event 43,4574,2027-05-31 10:00:00,Sponsor 6,2027-05-31 12:00:00
43,44,Event 44,3275,2014-04-10 20:00:00,Sponsor 3,2014-04-10 20:17:00
44,45,Event 45,1375,1998-02-07 19:00:00,Sponsor 4,1998-02-07 21:00:00
45,46,Event 46,207,2027-08-03 01:00:00,Sponsor 3,2027-08-03 01:21:00
46,47,Event 47,2614,1993-05-31 11:00:00,Sponsor 11,1993-05-31 11:05:00
47,48,Event 48,3833,2020-10-08 13:00:00,Sponsor 3,2020-10-08 15:00:00
48,49,Event 49,3999,2029-07-07 07:00:00,Sponsor 4,2029-07-07 09:00:00
49,50,Event 50,3046,2000-01-23 03:00:00,Sponsor 11,2000-01-23 03:38:00
50,51,Event 51,1636,2024-02-20 13:00:00,Sponsor 4,2024-02-20 13:08:00
51,52,Event 52,4353,1999-03-25 05:00:00,Sponsor 8,1999-03-25 05:33:00
52,53,Event 53,4464,2029-11-09 11:00:00,Sponsor 1,2029-11-09 13:00:00
53,54,Event 54,2370,2020-12-31 18:00:00,Sponsor 2,2020-12-31 18:20:00
54,55,Event 55,4148,1994-05-29 10:00:00,Sponsor 10,1994-05-29 10:36:00
55,56,Event 56,1728,1995-11-20 01:00:00,Sponsor 7,1995-11-20 01:22:00
56,57,Event 57,1464,2006-10-02 03:00:00,Sponsor 8,2006-10-02 03:34:00
